,AoA_-10,AoA_-9,AoA_-8,AoA_-7,AoA_-6,AoA_-5,AoA_-4,AoA_-3,AoA_-2,AoA_-1,AoA_0,AoA_1,AoA_2,AoA_3,AoA_4,AoA_5,AoA_6,AoA_7,AoA_8,AoA_9,AoA_10
p19,0.054052991792559624,0.05400453694164753,0.05320315808057785,0.05090169608592987,0.04773552715778351,0.04302678070962429,0.030843851156532764,0.008452190086245537,-0.019372647628188133,-0.05284942872822285,-0.10303195752203465,-0.057117970660328865,-0.02357911877334118,0.0038221273571252823,0.026246705558151007,0.0399242639541626,0.045550987124443054,0.048456430435180664,0.05023088492453098,0.05072955787181854,0.05074607580900192
p20,0.7194305611774325,0.6727185202762485,0.6003080559894443,0.5013212813064456,0.3855188740417361,0.24982870649546385,0.1030174596235156,-0.050270927138626575,-0.21472269762307405,-0.37505579460412264,-0.5304587529972196,-0.3971216129139066,-0.23731592763215303,-0.077461046166718,0.07401737850159407,0.2121563209220767,0.3462057365104556,0.46266752015799284,0.5631045652553439,0.6347031546756625,0.6861781431362033
p21,0.4980104244314134,0.5546748316846788,0.6036412394605577,0.6419089711271226,0.6703173792921007,0.6956653273664415,0.709255067165941,0.7139061368070543,0.7195439613424242,0.7137297070585191,0.7008606470189989,0.7024413025937974,0.7018529451452196,0.6980316317640245,0.6924463785253465,0.6784594333730638,0.660889474209398,0.6298765814863145,0.5950315869413316,0.5474604046903551,0.49312704568728805
p22,0.3397036243113689,0.3915297735366039,0.4400405932101421,0.4825893986853771,0.5192370463046245,0.5557259965571575,0.5836834955844097,0.6052738476428203,0.6291232157382183,0.6422565031680278,0.6472305107745342,0.6350854087504558,0.6168711829814129,0.595284347597044,0.5731375265750103,0.5456841636332683,0.5157797384890728,0.4767507661017589,0.43669325596420094,0.38929456955520436,0.33892795926658437
p23,0.26637386344373226,0.310154577717185,0.35204910300672054,0.3898929562419653,0.4236480798572302,0.45809166692197323,0.48606120608747005,0.5089911725372076,0.5344014670699835,0.5508215930312872,0.5605950858443975,0.5456352140754461,0.5248509552329779,0.5015168990939856,0.47801884077489376,0.45076113007962704,0.4218678381294012,0.38598247431218624,0.34996425174176693,0.3088297750800848,0.2661565002053976
p24,0.21002836152911186,0.2490524910390377,0.28695429489016533,0.3216377906501293,0.3532002680003643,0.38552026078104973,0.4123810641467571,0.4349995367228985,0.4599890820682049,0.4772474579513073,0.48875178024172783,0.47327543422579765,0.4522162787616253,0.429171871393919,0.406103502959013,0.3799657039344311,0.35239584371447563,0.31896577402949333,0.2857262007892132,0.24856885895133018,0.21043452247977257
p25,0.16301177348941565,0.19810512568801641,0.23237314727157354,0.264070182107389,0.29317334201186895,0.32299947645515203,0.3481675973162055,0.369679837487638,0.39334994461387396,0.41029888298362494,0.4221918573603034,0.4073547413572669,0.3870603432878852,0.3652114560827613,0.34324470069259405,0.3190450659021735,0.2933556428179145,0.26268824841827154,0.23216789867728949,0.19867390301078558,0.16445608343929052
p26,0.15822415053844452,0.1891072392463684,0.21924148499965668,0.24708659946918488,0.27269287407398224,0.2991974800825119,0.3215070217847824,0.3405132442712784,0.3616546243429184,0.3767285794019699,0.387243315577507,0.3739529103040695,0.35580624639987946,0.33630503714084625,0.3168862909078598,0.2953214794397354,0.27257905900478363,0.245450958609581,0.21855388581752777,0.1889999508857727,0.15897700190544128
p27,0.14735145680606365,0.1687298845499754,0.1899083238095045,0.2093405406922102,0.2276348453015089,0.24650622718036175,0.2625001948326826,0.27567231468856335,0.29099237732589245,0.30154612474143505,0.3081789892166853,0.29879444651305676,0.2857483606785536,0.272216496989131,0.25837781839072704,0.24275554530322552,0.2265969943255186,0.20676867477595806,0.18807765655219555,0.16706239990890026,0.1463720928877592
p28,0.13308473862707615,0.14965050853788853,0.16587495245039463,0.18079192377626896,0.19484824873507023,0.20983500219881535,0.22175193764269352,0.23125105537474155,0.2424760702997446,0.2496331874281168,0.2534021679311991,0.2477747444063425,0.23808720149099827,0.22780396975576878,0.21777238883078098,0.20635599829256535,0.19380185939371586,0.1785117331892252,0.16375351883471012,0.1475347075611353,0.1315178368240595
p29,0.11756711266934872,0.13051984272897243,0.1430527474731207,0.1546508278697729,0.1655059363692999,0.17708606086671352,0.18566556833684444,0.19189069233834743,0.1993889268487692,0.20347756706178188,0.204013517126441,0.20177715085446835,0.195578059181571,0.1886360254138708,0.1818982120603323,0.1738914307206869,0.1643140520900488,0.15241124294698238,0.14080645702779293,0.12824383936822414,0.11575155518949032
p30,0.10737958294339478,0.11722175520844758,0.12690484267659485,0.13538809609599411,0.1434697408694774,0.15184233081527054,0.15737911057658494,0.16028307867236435,0.1642521966714412,0.16515492391772568,0.16189732146449387,0.1633565325755626,0.16045888257212937,0.15735249710269272,0.15383753669448197,0.14868584764190018,0.14193429541774094,0.1327718694228679,0.12431099754758179,0.1145792726892978,0.10515887034125626
p31,0.09777548164129257,0.10423130542039871,0.11109788715839386,0.11677245795726776,0.12208496034145355,0.12750194221735,0.129762701690197,0.129030242562294,0.12906464189291,0.1262902468442917,0.11835631728172302,0.1244780495762825,0.12556272745132446,0.12620338797569275,0.1263294294476509,0.12448212504386902,0.12044260650873184,0.11424259096384048,0.10851099342107773,0.10163957625627518,0.09486348927021027
p32,0.0907174723688513,0.09424646222032607,0.09754968457855284,0.09995283954776824,0.10211916291154921,0.10396861308254302,0.10238184803165495,0.09701412939466536,0.09182719909586012,0.0843136312905699,0.06919949525035918,0.08213122957386076,0.0883155392948538,0.09420125209726393,0.099025763804093,0.10108226560987532,0.10032752179540694,0.09740274422802031,0.09483025246299803,0.0910669716540724,0.08801684551872313
p33,0.09673041198402643,0.09411890152841806,0.09044309053570032,0.0855159992352128,0.07967931125313044,0.07214581314474344,0.06030640099197626,0.041683138348162174,0.02065721619874239,-0.000620267353951931,-0.03965162392705679,-0.004398422781378031,0.016287765465676785,0.03708277735859156,0.055606708861887455,0.06784949544817209,0.07604395691305399,0.08156238589435816,0.08593192789703608,0.08891752455383539,0.09195191506296396
p34,-0.6833939403295517,-0.7222518175840378,-0.773131474852562,-0.8287324756383896,-0.8878050297498703,-0.9144078344106674,-0.714976117014885,-0.7606682032346725,-0.7776658982038498,-0.7736975997686386,-0.7496426552534103,-0.762541875243187,-0.7600960582494736,-0.7458645552396774,-0.7078676670789719,-0.8185196369886398,-0.8837041705846786,-0.8169014304876328,-0.7633007019758224,-0.7101430743932724,-0.6675010770559311
p35,-0.6831858344376087,-0.7202596254646778,-0.7700438685715199,-0.8258108086884022,-0.8890813775360584,-0.8701207228004932,-0.7190005965530872,-0.7499854750931263,-0.7612787075340748,-0.7496524043381214,-0.7227460332214832,-0.7395917363464832,-0.7434154935181141,-0.7344892211258411,-0.7089730687439442,-0.7641214914619923,-0.8868907876312733,-0.8142142482101917,-0.7600272484123707,-0.7077140398323536,-0.6670022197067738
p36,-1.1006193216890097,-1.157459145411849,-1.2245968636125326,-1.2626619394868612,-1.24138486944139,-1.1890817936509848,-1.1561594065278769,-1.1539313849061728,-1.1512715872377157,-1.1083465870469809,-1.0556731279939413,-1.097380405291915,-1.1224259193986654,-1.1270432528108358,-1.1218524035066366,-1.1463882979005575,-1.20449841581285,-1.2265206631273031,-1.2033362444490194,-1.1374236401170492,-1.0781230982393026
p37,-0.6645325608551502,-0.7028907723724842,-0.753918070346117,-0.813241858035326,-0.8728841729462147,-0.681176383048296,-0.675450224429369,-0.6759962029755116,-0.6576806493103504,-0.612171608954668,-0.5788930840790272,-0.6112026758491993,-0.6391649432480335,-0.6569007225334644,-0.6579215116798878,-0.6287661977112293,-0.8564822264015675,-0.8043887205421925,-0.7456954307854176,-0.6916054673492908,-0.6500255651772022
p38,-0.2392821116372943,-0.24454862903803587,-0.24776301812380552,-0.2488924963399768,-0.2480062646791339,-0.24721817206591368,-0.24052518140524626,-0.22848189901560545,-0.21898762416094542,-0.2098766816779971,-0.19656769465655088,-0.20307749044150114,-0.2117259157821536,-0.22120131086558104,-0.23227777611464262,-0.239210139028728,-0.2421655161306262,-0.24168128799647093,-0.24190823268145323,-0.2386615825816989,-0.23348369728773832
p39,-0.24029048904776573,-0.24481792375445366,-0.2473318986594677,-0.2478201799094677,-0.246568214148283,-0.24523380026221275,-0.23903917893767357,-0.22888724133372307,-0.22277095541357994,-0.22018371149897575,-0.2167939655482769,-0.21277521178126335,-0.21580904349684715,-0.22233867272734642,-0.2311241589486599,-0.23717446252703667,-0.24047855660319328,-0.24041099473834038,-0.2411218099296093,-0.2384919635951519,-0.23401109501719475
p40,-0.24177461117506027,-0.2426014021039009,-0.2434433177113533,-0.24275287240743637,-0.2399010881781578,-0.23622248321771622,-0.2296382561326027,-0.22363703697919846,-0.23034638911485672,-0.25707820802927017,-0.27225538343191147,-0.24525796622037888,-0.22645177692174911,-0.21903163939714432,-0.22255689650774002,-0.2283615544438362,-0.23348069936037064,-0.2352655604481697,-0.23703870922327042,-0.2359355315566063,-0.23468103259801865
